language_name,Nederlands
pokemon_name_Magnemite,Magnemite
pokemon_name_Magneton,Magneton
pokemon_name_Farfetch'd,Farfetch'd
pokemon_name_Doduo,Doduo
pokemon_name_Dodrio,Dodrio
pokemon_name_Seel,Seel
pokemon_name_Dewgong,Dewgong
pokemon_name_Grimer,Grimer
pokemon_name_Muk,Muk
pokemon_name_Shellder,Shellder
pokemon_name_Cloyster,Cloyster
pokemon_name_Gastly,Gastly
pokemon_name_Haunter,Haunter
pokemon_name_Gengar,Gengar
pokemon_name_Onix,Onix
pokemon_name_Drowzee,Drowzee
pokemon_name_Hypno,Hypno
pokemon_name_Krabby,Krabby
pokemon_name_Kingler,Kingler
pokemon_name_Voltorb,Voltorb
pokemon_name_Electrode,Electrode
pokemon_name_Exeggcute,Exeggcute
pokemon_name_Exeggutor,Exeggutor
pokemon_name_Cubone,Cubone
pokemon_name_Marowak,Marowak
pokemon_name_Hitmonlee,Hitmonlee
pokemon_name_Hitmonchan,Hitmonchan
pokemon_name_Lickitung,Lickitung
pokemon_name_Koffing,Koffing
pokemon_name_Weezing,Weezing
pokemon_name_Rhyhorn,Rhyhorn
pokemon_name_Rhydon,Rhydon
pokemon_name_Chansey,Chansey
pokemon_name_Tangela,Tangela
pokemon_name_Kangaskhan,Kangaskhan
pokemon_name_Horsea,Horsea
pokemon_name_Seedra,Seedra
pokemon_name_Goldeen,Goldeen
pokemon_name_Seaking,Seaking
pokemon_name_Staryu,Staryu
pokemon_name_Starmie,Starmie
pokemon_name_Mr. Mime,Mr. Mime
pokemon_name_Scyther,Scyther
pokemon_name_Jynx,Jynx
pokemon_name_Electabuzz,Electabuzz
pokemon_name_Magmar,Magmar
pokemon_name_Pinsir,Pinsir
pokemon_name_Tauros,Tauros
pokemon_name_Magikarp,Magikarp
pokemon_name_Gyarados,Gyarados
pokemon_name_Lapras,Lapras
pokemon_name_Ditto,Ditto
pokemon_name_Eevee,Eevee
pokemon_name_Vaporeon,Vaporeon
pokemon_name_Jolteon,Jolteon
pokemon_name_Flareon,Flareon
pokemon_name_Porygon,Porygon
pokemon_name_Omanyte,Omanyte
pokemon_name_Omastar,Omastar
pokemon_name_Kabuto,Kabuto
pokemon_name_Kabutops,Kabutops
pokemon_name_Aerodactyl,Aerodactyl
pokemon_name_Snorlax,Snorlax
pokemon_name_Articuno,Articuno
pokemon_name_Zapdos,Zapdos
pokemon_name_Moltres,Moltres
pokemon_name_Dratini,Dratini
pokemon_name_Dragonair,Dragonair
pokemon_name_Dragonite,Dragonite
pokemon_name_Mewtwo,Mewtwo
pokemon_name_Mew,Mew
pokemon_name_Chikorita,Chikorita
pokemon_name_Bayleef,Bayleef
pokemon_name_Meganium,Meganium
pokemon_name_Cyndaquil,Cyndaquil
pokemon_name_Quilava,Quilava
pokemon_name_Typhlosion,Typhlosion
pokemon_name_Totodile,Totodile
pokemon_name_Croconaw,Croconaw
pokemon_name_Feraligatr,Feraligatr
pokemon_name_Sentret,Sentret
pokemon_name_Furret,Furret
pokemon_name_Hoothoot,Hoothoot
pokemon_name_Noctowl,Noctowl
pokemon_name_Ledyba,Ledyba
pokemon_name_Ledian,Ledian
pokemon_name_Spinarak,Spinarak
pokemon_name_Ariados,Ariados
pokemon_name_Crobat,Crobat
pokemon_name_Chinchou,Chinchou
pokemon_name_Lanturn,Lanturn
pokemon_name_Pichu,Pichu
pokemon_name_Cleffa,Cleffa
pokemon_name_Igglybuff,Igglybuff
pokemon_name_Togepi,Togepi
pokemon_name_Togetic,Togetic
pokemon_name_Natu,Natu
pokemon_name_Xatu,Xatu
pokemon_name_Mareep,Mareep
pokemon_name_Flaaffy,Flaaffy
pokemon_name_Ampharos,Ampharos
pokemon_name_Bellossom,Bellossom
pokemon_name_Marill,Marill
pokemon_name_Azumarill,Azumarill
pokemon_name_Sudowoodo,Sudowoodo
pokemon_name_Politoed,Politoed
pokemon_name_Hoppip,Hoppip
pokemon_name_Skiploom,Skiploom
pokemon_name_Jumpluff,Jumpluff
pokemon_name_Aipom,Aipom
pokemon_name_Sunkern,Sunkern
pokemon_name_Sunflora,Sunflora
pokemon_name_Yanma,Yanma
pokemon_name_Wooper,Wooper
pokemon_name_Quagsire,Quagsire
pokemon_name_Espeon,Espeon
pokemon_name_Umbreon,Umbreon
pokemon_name_Murkrow,Murkrow
pokemon_name_Slowking,Slowking
pokemon_name_Misdreavus,Misdreavus
pokemon_name_Unown,Unown
pokemon_name_Wobbuffet,Wobbuffet
pokemon_name_Girafarig,Girafarig
pokemon_name_Pineco,Pineco
pokemon_name_Forretress,Forretress
pokemon_name_Dunsparce,Dunsparce
pokemon_name_Gligar,Gligar
pokemon_name_Steelix,Steelix
pokemon_name_Snubbull,Snubbull
pokemon_name_Granbull,Granbull
pokemon_name_Qwilfish,Qwilfish
pokemon_name_Scizor,Scizor
pokemon_name_Shuckle,Shuckle
pokemon_name_Heracross,Heracross
pokemon_name_Sneasel,Sneasel
pokemon_name_Teddiursa,Teddiursa
pokemon_name_Ursaring,Ursaring
pokemon_name_Slugma,Slugma
pokemon_name_Magcargo,Magcargo
pokemon_name_Swinub,Swinub
pokemon_name_Piloswine,Piloswine
pokemon_name_Corsola,Corsola
pokemon_name_Remoraid,Remoraid
pokemon_name_Octillery,Octillery
pokemon_name_Delibird,Delibird
pokemon_name_Mantine,Mantine
pokemon_name_Skarmory,Skarmory
pokemon_name_Houndour,Houndour
pokemon_name_Houndoom,Houndoom
pokemon_name_Kingdra,Kingdra
pokemon_name_Phanpy,Phanpy
pokemon_name_Donphan,Donphan
pokemon_name_Porygon2,Porygon2
pokemon_name_Stantler,Stantler
pokemon_name_Smeargle,Smeargle
pokemon_name_Tyrogue,Tyrogue
pokemon_name_Hitmontop,Hitmontop
pokemon_name_Smoochum,Smoochum
pokemon_name_Elekid,Elekid
pokemon_name_Magby,Magby
pokemon_name_Miltank,Miltank
pokemon_name_Blissey,Blissey
pokemon_name_Raikou,Raikou
pokemon_name_Entei,Entei
pokemon_name_Suicune,Suicune
pokemon_name_Larvitar,Larvitar
pokemon_name_Pupitar,Pupitar
pokemon_name_Tyranitar,Tyranitar
pokemon_name_Lugia,Lugia
pokemon_name_Ho-Oh,Ho-Oh
pokemon_name_Celebi,Celebi
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
Story translation:
---
New Bark Town:
---
barktown.dat:
---
barktown_player_house,<playername>'s Huis
